target_chembl_id,ensembl_gene_id
CHEMBL1798,ENSG00000173198
CHEMBL1827,ENSG00000138735
CHEMBL1902,ENSG00000088832
CHEMBL1909490,ENSG00000125538
CHEMBL1950,ENSG00000117601
CHEMBL1977,ENSG00000111424
CHEMBL1980,ENSG00000183873
CHEMBL1994,ENSG00000151623
CHEMBL1995,ENSG00000160013
CHEMBL1997,ENSG00000112759
CHEMBL2001,ENSG00000169313
CHEMBL2027,ENSG00000015520
CHEMBL2034,ENSG00000113580
CHEMBL2072,ENSG00000007314
CHEMBL2093872,ENSG00000022355
CHEMBL2093872,ENSG00000145864
CHEMBL2093872,ENSG00000113327
CHEMBL2093872,ENSG00000166206
CHEMBL2093872,ENSG00000109158
CHEMBL2093872,ENSG00000182256
CHEMBL2093872,ENSG00000268089
CHEMBL2093872,ENSG00000011677
CHEMBL2093872,ENSG00000094755
CHEMBL2093872,ENSG00000187730
CHEMBL2093872,ENSG00000163285
CHEMBL2093872,ENSG00000163288
CHEMBL2093872,ENSG00000102287
CHEMBL2093872,ENSG00000151834
CHEMBL2093872,ENSG00000186297
CHEMBL2093872,ENSG00000145863
CHEMBL2094253,ENSG00000073756
CHEMBL2094253,ENSG00000095303
CHEMBL2095182,ENSG00000188229
CHEMBL2095182,ENSG00000101162
CHEMBL2095182,ENSG00000198033
CHEMBL2095182,ENSG00000127824
CHEMBL2095182,ENSG00000258947
CHEMBL2095182,ENSG00000167552
CHEMBL2095182,ENSG00000104833
CHEMBL2095182,ENSG00000261456
CHEMBL2095182,ENSG00000227739
CHEMBL2095182,ENSG00000229684
CHEMBL2095182,ENSG00000224156
CHEMBL2095182,ENSG00000232421
CHEMBL2095182,ENSG00000196230
CHEMBL2095182,ENSG00000235067
CHEMBL2095182,ENSG00000183311
CHEMBL2095182,ENSG00000232575
CHEMBL2095182,ENSG00000123416
CHEMBL2095182,ENSG00000167553
CHEMBL2095182,ENSG00000152086
CHEMBL2095182,ENSG00000137267
CHEMBL2095182,ENSG00000137285
CHEMBL2095182,ENSG00000176014
CHEMBL2095229,ENSG00000151067
CHEMBL2095229,ENSG00000285479
CHEMBL2095229,ENSG00000081248
CHEMBL2095229,ENSG00000157388
CHEMBL2095229,ENSG00000102001
CHEMBL2111348,ENSG00000061918
CHEMBL2111348,ENSG00000152402
CHEMBL2111348,ENSG00000164116
CHEMBL2111369,ENSG00000106348
CHEMBL2111369,ENSG00000178035
CHEMBL213,ENSG00000043591
CHEMBL218,ENSG00000118432
CHEMBL227,ENSG00000144891
CHEMBL233,ENSG00000112038
CHEMBL235,ENSG00000132170
CHEMBL2363032,ENSG00000196557
CHEMBL2363032,ENSG00000153956
CHEMBL2363032,ENSG00000151067
CHEMBL2363032,ENSG00000285479
CHEMBL2363032,ENSG00000157445
CHEMBL2363032,ENSG00000081248
CHEMBL2363032,ENSG00000007402
CHEMBL2363032,ENSG00000157388
CHEMBL2363032,ENSG00000141837
CHEMBL2363032,ENSG00000148408
CHEMBL2363032,ENSG00000006283
CHEMBL2363032,ENSG00000151062
CHEMBL2363032,ENSG00000284953
CHEMBL2363032,ENSG00000100346
CHEMBL2363032,ENSG00000102001
CHEMBL2363032,ENSG00000198216
CHEMBL2363032,ENSG00000182389
CHEMBL2363032,ENSG00000165995
CHEMBL2363032,ENSG00000067191
CHEMBL2363032,ENSG00000167535
CHEMBL2363032,ENSG00000105605
CHEMBL2363032,ENSG00000075429
CHEMBL2363032,ENSG00000166862
CHEMBL2363032,ENSG00000075461
CHEMBL2363032,ENSG00000142408
CHEMBL2363032,ENSG00000006116
CHEMBL2363032,ENSG00000130433
CHEMBL2363032,ENSG00000108878
CHEMBL2363066,ENSG00000138735
CHEMBL2363066,ENSG00000065989
CHEMBL2363066,ENSG00000172572
CHEMBL2363066,ENSG00000139053
CHEMBL2363066,ENSG00000185527
CHEMBL2363066,ENSG00000186642
CHEMBL2363066,ENSG00000205268
CHEMBL2363066,ENSG00000115252
CHEMBL2363066,ENSG00000160191
CHEMBL2363066,ENSG00000133256
CHEMBL2363066,ENSG00000113448
CHEMBL2363066,ENSG00000184588
CHEMBL2363066,ENSG00000156973
CHEMBL2363066,ENSG00000132915
CHEMBL2363066,ENSG00000152270
CHEMBL2363066,ENSG00000095464
CHEMBL2363066,ENSG00000113231
CHEMBL2363066,ENSG00000112541
CHEMBL2363066,ENSG00000123360
CHEMBL2363066,ENSG00000105650
CHEMBL2363066,ENSG00000154678
CHEMBL2363066,ENSG00000073417
CHEMBL2363066,ENSG00000171408
CHEMBL2364681,ENSG00000138823
CHEMBL2364681,ENSG00000185624
CHEMBL239,ENSG00000186951
CHEMBL241,ENSG00000172572
CHEMBL248,ENSG00000197561
CHEMBL248,ENSG00000277571
CHEMBL2782,ENSG00000057252
CHEMBL2929,ENSG00000169174
CHEMBL3286,ENSG00000122861
CHEMBL3559701,ENSG00000130368
CHEMBL3713712,ENSG00000049540
CHEMBL3720,ENSG00000131473
CHEMBL3884,ENSG00000140675
CHEMBL4015,ENSG00000121807
CHEMBL402,ENSG00000113161
CHEMBL4235,ENSG00000117594
CHEMBL4427,ENSG00000168229
CHEMBL4465,ENSG00000167780
CHEMBL4550,ENSG00000132965
CHEMBL5255,ENSG00000136869
